Algorithm,ItemCount_n,Capacity_C,BestValue,Time_ms,Space_bytes,Note
BruteForce,1000,10000,-1.00,-1.000,-,n>40 skipped
DP,1000,10000,127445.92,22.000,80008,
Greedy,1000,10000,127333.31,0.000,-,Not optimal
Backtracking,1000,10000,127445.92,1.000,-,
BruteForce,1000,100000,-1.00,-1.000,-,n>40 skipped
DP,1000,100000,266581.22,0.000,800008,
Greedy,1000,100000,266581.22,0.000,-,Not optimal
Backtracking,1000,100000,266581.22,2.000,-,
BruteForce,1000,1000000,-1.00,-1.000,-,n>40 skipped
DP,1000,1000000,266581.22,0.000,8000008,
Greedy,1000,1000000,266581.22,0.000,-,Not optimal
Backtracking,1000,1000000,266581.22,2.000,-,
BruteForce,2000,10000,-1.00,-1.000,-,n>40 skipped
DP,2000,10000,178427.20,41.000,80008,(reconstruction disabled for large n*C)
Greedy,2000,10000,178351.87,1.000,-,Not optimal
Backtracking,2000,10000,-1.00,-1.000,-,n>1000 skipped
BruteForce,2000,100000,-1.00,-1.000,-,n>40 skipped
DP,2000,100000,529403.47,564.000,800008,
Greedy,2000,100000,529376.52,0.000,-,Not optimal
Backtracking,2000,100000,-1.00,-1.000,-,n>1000 skipped
BruteForce,2000,1000000,-1.00,-1.000,-,n>40 skipped
DP,2000,1000000,530119.94,0.000,8000008,
Greedy,2000,1000000,530119.94,1.000,-,Not optimal
Backtracking,2000,1000000,-1.00,-1.000,-,n>1000 skipped
BruteForce,3000,10000,-1.00,-1.000,-,n>40 skipped
DP,3000,10000,215638.87,67.000,80008,(reconstruction disabled for large n*C)
Greedy,3000,10000,215638.87,0.000,-,Not optimal
Backtracking,3000,10000,-1.00,-1.000,-,n>1000 skipped
BruteForce,3000,100000,-1.00,-1.000,-,n>40 skipped
DP,3000,100000,683242.41,746.000,800008,
Greedy,3000,100000,683171.52,1.000,-,Not optimal
Backtracking,3000,100000,-1.00,-1.000,-,n>1000 skipped
BruteForce,3000,1000000,-1.00,-1.000,-,n>40 skipped
DP,3000,1000000,791970.08,0.000,8000008,
Greedy,3000,1000000,791970.08,1.000,-,Not optimal
Backtracking,3000,1000000,-1.00,-1.000,-,n>1000 skipped
BruteForce,4000,10000,-1.00,-1.000,-,n>40 skipped
DP,4000,10000,248690.34,79.000,80008,(reconstruction disabled for large n*C)
Greedy,4000,10000,248690.34,0.000,-,Not optimal
Backtracking,4000,10000,-1.00,-1.000,-,n>1000 skipped
BruteForce,4000,100000,-1.00,-1.000,-,n>40 skipped
DP,4000,100000,794753.86,888.000,800008,
Greedy,4000,100000,794746.91,1.000,-,Not optimal
Backtracking,4000,100000,-1.00,-1.000,-,n>1000 skipped
BruteForce,4000,1000000,-1.00,-1.000,-,n>40 skipped
DP,4000,1000000,1057308.77,0.000,8000008,
Greedy,4000,1000000,1057308.77,1.000,-,Not optimal
Backtracking,4000,1000000,-1.00,-1.000,-,n>1000 skipped
BruteForce,5000,10000,-1.00,-1.000,-,n>40 skipped
DP,5000,10000,275064.42,103.000,80008,(reconstruction disabled for large n*C)
